title,artist,genre,demo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
Tera Ghata,Gajendra Verma,"['desi pop', 'filmi', 'modern bollywood']",https://p.scdn.co/mp3-preview/56e12a7676bd174cee959acd6bf1a3d150a44f89?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.718,0.573,1.0,-7.309,0.0,0.0451,0.458,0.00533,0.0953,0.686,180.043,0JBhoxPKHJc1ZeJrjSt0VO,spotify:track:0JBhoxPKHJc1ZeJrjSt0VO,https://api.spotify.com/v1/tracks/0JBhoxPKHJc1ZeJrjSt0VO,https://api.spotify.com/v1/audio-analysis/0JBhoxPKHJc1ZeJrjSt0VO,254174.0,4.0
Samajavaragamana,Thaman S,"['filmi', 'tamil pop']",https://p.scdn.co/mp3-preview/e41da844fb694c83516da267dbc463d55822f429?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.568,0.663,8.0,-6.179,1.0,0.0345,0.91,4.82e-05,0.124,0.808,165.203,3j9DrRebdWK1jkpOw9FZUy,spotify:track:3j9DrRebdWK1jkpOw9FZUy,https://api.spotify.com/v1/tracks/3j9DrRebdWK1jkpOw9FZUy,https://api.spotify.com/v1/audio-analysis/3j9DrRebdWK1jkpOw9FZUy,219818.0,3.0
"Hauli Hauli (From ""De De Pyaar De"")",Various Artists,[],https://p.scdn.co/mp3-preview/24b1c4ea65d84a80de9c260f6c2adbe6941d6851?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.705,0.982,1.0,-3.376,1.0,0.0788,0.0212,3.18e-05,0.337,0.571,94.99,60XrRbNjDMAGUZ2xLkU9W3,spotify:track:60XrRbNjDMAGUZ2xLkU9W3,https://api.spotify.com/v1/tracks/60XrRbNjDMAGUZ2xLkU9W3,https://api.spotify.com/v1/audio-analysis/60XrRbNjDMAGUZ2xLkU9W3,209393.0,4.0
Jannat,Ezu,"['desi hip hop', 'desi pop']",https://p.scdn.co/mp3-preview/b1ba83cb82cc00c4596bcbb171846eceb062300b?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.589,0.536,3.0,-7.24,0.0,0.0274,0.47,0.0,0.0919,0.564,109.87,5MVgbOulRaJqYKpmJEthkS,spotify:track:5MVgbOulRaJqYKpmJEthkS,https://api.spotify.com/v1/tracks/5MVgbOulRaJqYKpmJEthkS,https://api.spotify.com/v1/audio-analysis/5MVgbOulRaJqYKpmJEthkS,300713.0,4.0
Cradles,Sub Urban,"['modern indie pop', 'modern rock']",https://p.scdn.co/mp3-preview/34cabeab97fcc6c49afa742e1ce6bf45e44d960e?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.534,0.589,1.0,-1.865,1.0,0.325,0.256,6.02e-05,0.176,0.632,78.616,1y4jsQt7MjnZhiD1L6qFBC,spotify:track:1y4jsQt7MjnZhiD1L6qFBC,https://api.spotify.com/v1/tracks/1y4jsQt7MjnZhiD1L6qFBC,https://api.spotify.com/v1/audio-analysis/1y4jsQt7MjnZhiD1L6qFBC,209829.0,4.0
Kamaal,Badshah,"['desi hip hop', 'desi pop', 'desi trap', 'haryanvi pop', 'modern bollywood']",https://p.scdn.co/mp3-preview/9128d6406b34a6e204d7e29b0b7291b354167d8e?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.847,0.552,2.0,-12.189,1.0,0.26,0.199,1.68e-06,0.142,0.748,99.997,1q7W78ZYL9iqyYeVONU2hg,spotify:track:1q7W78ZYL9iqyYeVONU2hg,https://api.spotify.com/v1/tracks/1q7W78ZYL9iqyYeVONU2hg,https://api.spotify.com/v1/audio-analysis/1q7W78ZYL9iqyYeVONU2hg,178200.0,4.0
Manjha,Vishal Mishra,"['desi pop', 'modern bollywood']",https://p.scdn.co/mp3-preview/8a1ebbc16b5b8732087cc3f327257979af83004f?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.524,0.515,11.0,-7.478,0.0,0.0427,0.674,0.0,0.104,0.368,169.882,0UZLaEOSIc5kg0cc7eszqC,spotify:track:0UZLaEOSIc5kg0cc7eszqC,https://api.spotify.com/v1/tracks/0UZLaEOSIc5kg0cc7eszqC,https://api.spotify.com/v1/audio-analysis/0UZLaEOSIc5kg0cc7eszqC,191647.0,4.0
"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']",https://p.scdn.co/mp3-preview/3f3aa4dcfaf4d9dc0689adce399b570d791fa1a4?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.798,0.905,5.0,-3.731,0.0,0.0581,0.0979,4.22e-06,0.307,0.905,105.005,2TbCdbFzs2xO2nzasn0Qvw,spotify:track:2TbCdbFzs2xO2nzasn0Qvw,https://api.spotify.com/v1/tracks/2TbCdbFzs2xO2nzasn0Qvw,https://api.spotify.com/v1/audio-analysis/2TbCdbFzs2xO2nzasn0Qvw,164160.0,4.0
Teri Mitti,Various Artists,[],https://p.scdn.co/mp3-preview/14d5431f4f8ceed1ca9f305c472d91dbe3cfc7ce?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.332,0.422,3.0,-5.414,1.0,0.0449,0.865,0.0,0.0763,0.217,74.315,3PAC15iDIHk7IWD8ShSgWh,spotify:track:3PAC15iDIHk7IWD8ShSgWh,https://api.spotify.com/v1/tracks/3PAC15iDIHk7IWD8ShSgWh,https://api.spotify.com/v1/audio-analysis/3PAC15iDIHk7IWD8ShSgWh,313999.0,4.0
"Palace/Curse (feat. Tyler, The Creator & Steve Lacy)",The Internet,"['alternative r&b', 'indie soul', 'lgbtq+ hip hop', 'r&b']",https://p.scdn.co/mp3-preview/92f3d22c364280c00f1e76c9e114bafae29a2a77?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.447,0.625,10.0,-8.212,0.0,0.323,0.0351,0.000727,0.243,0.261,67.104,300DUx4tdtCdGEUXR032jA,spotify:track:300DUx4tdtCdGEUXR032jA,https://api.spotify.com/v1/tracks/300DUx4tdtCdGEUXR032jA,https://api.spotify.com/v1/audio-analysis/300DUx4tdtCdGEUXR032jA,440013.0,4.0
